References,Vegetation,Local,Family,Specie,N(g kg-1),P(g kg-1),K(g kg-1),Ca(g kg-1),Mg(g kg-1),Fe(mg kg-1),Mn(mg kg-1),Zn(mg kg-1),Cu(mg kg-1),Al(mg kg-1)
"Silva, P.E.N. (1991)",mata,Olho d'água da Onça,Clusiaceae,Calophyllum brasiliense Cambess.,1.49,0.062,0.55,0.73,0.65,134,37,NA,NA,1106
"Silva, P.E.N. (1991)",mata,Olho d'água da Onça,Leguminosae,Copaifera langsdorffii Desf.,1.18,0.101,0.93,0.72,0.52,107,847,NA,NA,1457
"Silva, P.E.N. (1991)",mata,Olho d'água da Onça,Leguminosae,Copaifera langsdorffii Desf.,1.18,0.053,0.72,0.46,0.65,136,1174,NA,NA,441
"Silva, P.E.N. (1991)",mata,Olho d'água da Onça,Myrtaceae,Myrcia fenzliana O.Berg,0.92,0.158,1.32,0.82,0.52,160,430,NA,NA,5473
"Silva, P.E.N. (1991)",mata,Olho d'água da Onça,Myrtaceae,Myrcia fenzliana O.Berg,1.58,0.021,0.57,0.54,0.5,138,220,NA,NA,414
"Silva, P.E.N. (1991)",mata,Olho d'água da Onça,Meliaceae,Guarea macrophylla subsp. tuberculata (Vell.)T.D.Penn.,1.05,0.142,0.96,0.25,0.43,129,45,NA,NA,1743
"Silva, P.E.N. (1991)",mata,Olho d'água da Onça,Meliaceae,Guarea macrophylla subsp. tuberculata (Vell.)T.D.Penn.,1.58,0.021,1.29,0.48,0.72,105,60,NA,NA,246
"Silva, P.E.N. (1991)",mata,Olho d'água da Onça,Annonaceae,Guatteria sellowiana Schltdl.,1.05,0.095,0.63,0.82,0.42,118,510,NA,NA,1194
"Silva, P.E.N. (1991)",mata,Olho d'água da Onça,Annonaceae,Guatteria sellowiana Schltdl.,1.32,0.042,0.57,0.6,0.6,130,431,NA,NA,406
"Silva, P.E.N. (1991)",mata,Olho d'água da Onça,Chrysobalanaceae,Hirtella glandulosa Spreng.,1.38,0.068,0.47,0.59,0.44,207,32,NA,NA,899
"Silva, P.E.N. (1991)",mata,Olho d'água da Onça,Chrysobalanaceae,Hirtella glandulosa Spreng.,1.38,0.017,0.52,0.53,0.57,140,43,NA,NA,339
